Mode,NLC,ASC,Station,Coverage,Source,Weekday (Mon-Thu) - Entries,Friday - Entries,Saturday - Entries,Sunday - Entries,Weekday (Mon-Thu) - Exits,Firday - Exits,Saturday - Exits,Sunday - Exits,En/Ex
LU,500,ACTu,Acton Town,Station entry / exit,Gateline,"6,851","6,899","5,657","3,961","6,886","6,691","5,559","4,174","2,902,697"
LU,502,ALDu,Aldgate,Station entry / exit,Gateline,"8,038","6,690","5,035","3,585","9,655","8,611","7,453","4,595","3,525,128"
LU,503,ALEu,Aldgate East,Station entry / exit,Gateline,"12,751","13,270","13,617","9,980","11,984","12,882","12,951","8,261","5,611,130"
LU,505,ALPu,Alperton,Station entry / exit,Gateline,"3,109","3,121","2,543","1,654","3,347","3,325","2,537","1,732","1,345,253"
LU,506,AMEu,Amersham,Station entry / exit,Gateline,"2,384","2,249","1,745","1,089","2,315","2,175","1,545","1,063","946,577"
LU,507,ANGu,Angel,Station entry / exit,Gateline,"16,234","17,601","14,286","9,694","17,205","19,337","15,229","9,890","7,258,744"
LU,508,ARCu,Archway,Station entry / exit,Gateline,"9,878","10,130","8,148","5,549","9,318","9,051","7,017","5,273","4,027,456"
LU,509,AGRu,Arnos Grove,Station entry / exit,Gateline,"4,686","4,832","4,257","3,067","4,347","4,373","3,835","2,955","1,963,343"
LU,510,ARLu,Arsenal,Station entry / exit,Gateline,"2,847","3,151","2,911","2,050","2,521","2,540","2,454","2,036","1,209,093"
LU,511,BSTu,Baker Street,Station entry / exit,Gateline,"26,481","26,299","20,714","14,374","26,852","27,029","21,177","14,622","11,147,642"
LU,512,BALu,Balham LU,Station entry / exit,Gateline,"11,980","12,553","12,223","7,520","12,598","12,105","11,728","7,755","5,356,512"
LU,513,BNKu,Bank and Monument,Station entry / exit,Gateline,"47,852","35,146","19,494","11,930","50,707","38,873","22,558","12,430","17,657,529"
LU,501,BARu,Barbican,Station entry / exit,Gateline,"8,778","7,849","4,749","3,030","9,377","8,407","5,183","3,168","3,467,856"
LU,514,BKGu,Barking,Station entry / exit,Gateline,"22,401","22,524","17,313","11,593","22,258","22,302","16,920","11,482","9,272,519"
LU,515,BDEu,Barkingside,Station entry / exit,Gateline,"1,586","1,536","1,046",671,"1,665","1,568","1,068",707,"647,203"
LU,516,BCTu,Barons Court,Station entry / exit,Gateline,"7,268","6,988","5,245","3,668","7,024","6,394","4,663","3,691","2,900,237"
LU,517,BAYu,Bayswater,Station entry / exit,Gateline,"3,051","3,529","4,188","3,249","2,987","3,547","4,046","2,677","1,498,957"
LU,518,BECu,Becontree,Station entry / exit,Gateline,"4,425","4,394","3,042","1,905","4,326","4,212","2,832","1,895","1,759,768"
LU,519,BPKu,Belsize Park,Station entry / exit,Gateline,"6,465","6,449","4,499","3,351","6,332","6,014","4,253","3,272","2,609,939"
LU,787,BERu,Bermondsey,Station entry / exit,Gateline,"9,737","10,097","9,102","6,027","9,503","9,533","8,795","5,956","4,176,709"
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Gateline,"14,525","15,583","14,334","10,276","13,771","14,582","13,756","9,733","6,322,604"
LU,521,BLFu,Blackfriars LU,Station entry / exit,Gateline,"12,199","10,286","8,879","6,667","11,667","9,929","7,897","6,099","4,795,990"
LU,522,BHRu,Blackhorse Road,Station entry / exit,Gateline,"12,057","12,329","10,422","6,999","11,457","11,186","9,234","6,748","4,985,901"
LU,524,BDSu,Bond Street,Station entry / exit,Gateline,"35,930","34,595","36,512","21,311","36,693","35,134","36,422","20,770","15,694,939"
LU,525,BORu,Borough,Station entry / exit,Gateline,"4,834","5,048","4,177","2,607","4,874","4,980","4,264","2,664","2,066,434"
